ABEL14;ABELIA GRANDIFLORA V14;1;2;3;8053369653273;
ABEL18;ABELIA GRANDIFLORA VASO 18;1;2;3;8053369657042;
ABET30.170;ABIES FRASERI VASO 30;1;2;3;8053369654119;
ABOU;ABOUTILON;1;2;3;9900000014766;
ABOU14;ABOUTILON V14;1;2;3;9900000014773;
ABUT;ABUTILON;1;2;3;9900000013592;
ABUT18;ABUTILON V18;1;2;3;8053369650418;
ACET;ACETOSA;1;2;3;9900000017026;
ACET14;ACETOSA V14;1;2;3;9900000017033;
ACHI14;ACHILLEA MILLEFOLIUM V14;1;2;3;8053369656458;
ACTI;ACTINIDIA;1;2;3;9900000011215;
ACTI18;ACTINIDIA V18;1;2;3;9900000011222;
ADEN;ADENIUM;1;2;3;9900000000103;
ADIA;ADIANTUM;1;2;3;9900000000110;
AECH;AECHMEA;1;2;3;9900000000127;
AESC;AESCHYNANTHUS;1;2;3;9900000000134;
AGAS;AGASTACHE;1;2;3;9900000013295;
AGAS18;AGASTACHE V18;1;2;3;9900000013301;
AGAT;AGATEA;1;2;3;9900000000141;
AGAT18;AGATEA *Felicitara* VASO 18;1;2;3;8053369655468;
AGAT14FE;AGATEA FELICIA *Felicitara* VASO 14;1;2;3;8053369651644;
AGAT14;AGATEA FELICIA VASO 14;1;2;3;8053369650371;
AGAT22;AGATEA V22;1;2;3;9900000003241;
AGAT25;AGATEA V25;1;2;3;9900000011062;
AGAV;AGAVE;1;2;3;9900000012243;
AGAV22;AGAVE ANGUSTIFOLIA VASO 22;1;2;3;9900000018634;
AGAV20;AGAVE V20;1;2;3;8053369652221;
AGE10;AGERATO V10;1;2;3;8053369651866;
AGLAO;AGLAOMORPHA;1;2;3;9900000017330;
AGLA;AGLAONEMA;1;2;3;9900000000158;
AGLI;AGLINA;1;2;3;9900000010218;
AGLI14;AGLINA V14;1;2;3;9900000010225;
AGLIO14;AGLIO V14;1;2;3;9900000017262;
AGRU;AGRUMI;1;2;3;9900000000165;
AGRU20;AGRUMI V20;1;2;3;9900000016548;
AJAN;AJANIA;1;2;3;9900000000172;
ALLA;ALLAMANDA;1;2;3;9900000015824;
ALLA18SP;ALLAMANDA CATHARTICA V18 Spalliera;1;2;3;8053369656434;
ALLA18;ALLAMANDA CATHARTICA VASO 18;1;2;3;9900000016838;
ALLA14;ALLAMANDA V14;1;2;3;9900000017446;
ALLO;ALLORO;1;2;3;9900000000189;
ALLO10;ALLORO (Laurus Nobilis) V10;1;2;3;8053369650555;
ALLO14;ALLORO (Laurus Nobilis) V14;1;2;3;8053369651040;
ALLO18-R;ALLORO (Laurus Nobilis) V18 *InRiviera*;1;2;3;8053369656427;
ALLO9;ALLORO (Laurus Nobilis) V9X9;1;2;3;8053369651132;
ALLO11;ALLORO V11;1;2;3;9900000003265;
ALLO18;ALLORO V18;1;2;3;9900000014445;
ALOC;ALOCASIA;1;2;3;9900000000196;
ALOE;ALOE;1;2;3;9900000000202;
ALOE12;ALOE V12;1;2;3;9900000015985;
ALOE12VE;ALOE V12 VERA;1;2;3;9900000015992;
ALOE14;ALOE V14;1;2;3;9900000003272;
ALOE14VE;ALOE V14 VERA;1;2;3;8053369650715;
ALOE18;ALOE V18;1;2;3;9900000003289;
ALOE18VE;ALOE V18 VERA;1;2;3;9900000016012;
ALO22A;ALOE V22 ARBORESCENS;1;2;3;9900000018528;
