Feb 15 00:31:49|5[info]15/02/2015 00:31:49 - [UTENTE = ][REMOTE IP = 79.20.197.160][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 00:31:52|5[info]15/02/2015 00:31:52 - [UTENTE = paolo][REMOTE IP = 79.20.197.160][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:41:55|5[info]15/02/2015 14:41:55 - [UTENTE = ][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:41:58|5[info]15/02/2015 14:41:58 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:06|5[info]15/02/2015 14:42:06 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:16|5[info]15/02/2015 14:42:16 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:32|5[info]15/02/2015 14:42:32 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:35|5[info]15/02/2015 14:42:35 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:39|5[info]15/02/2015 14:42:39 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = ListaVerificaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:42:44|5[info]15/02/2015 14:42:44 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:46:06|5[info]15/02/2015 14:46:06 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 14:46:14|5[info]15/02/2015 14:46:14 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 15:03:49|5[info]15/02/2015 15:03:49 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:51:09|5[info]15/02/2015 21:51:09 - [UTENTE = ][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:51:13|5[info]15/02/2015 21:51:13 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = Home][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:51:37|5[info]15/02/2015 21:51:37 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:51:56|5[info]15/02/2015 21:51:56 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:52:00|5[info]15/02/2015 21:52:00 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][act = ListaContenuti][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:52:02|5[info]15/02/2015 21:52:02 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:55:46|5[info]15/02/2015 21:55:46 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:56:09|5[info]15/02/2015 21:56:09 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 21:58:22|5[info]15/02/2015 21:58:22 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 22:05:20|5[info]15/02/2015 22:05:20 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
Feb 15 22:05:22|5[info]15/02/2015 22:05:22 - [UTENTE = paolo][REMOTE IP = 79.45.193.165][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
