dic 13 00:08:46|5[info]13/12/2014 00:08:46 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:10:11|5[info]13/12/2014 00:10:11 - [UTENTE = ][REMOTE IP = 185.72.244.38][REQUEST METHOD = HEAD][USER AGENT = Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36]
dic 13 00:18:05|5[info]13/12/2014 00:18:05 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:18:09|5[info]13/12/2014 00:18:09 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:18:21|5[info]13/12/2014 00:18:21 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:18:27|5[info]13/12/2014 00:18:27 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:18:33|5[info]13/12/2014 00:18:33 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:18:50|5[info]13/12/2014 00:18:50 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 13 00:19:09|5[info]13/12/2014 00:19:09 - [UTENTE = ][REMOTE IP = 79.7.71.152][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:19:12|5[info]13/12/2014 00:19:12 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:19:23|5[info]13/12/2014 00:19:23 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:19:31|5[info]13/12/2014 00:19:31 - [UTENTE = ][REMOTE IP = 79.7.71.152][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:19:33|5[info]13/12/2014 00:19:33 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:31:17|5[info]13/12/2014 00:31:17 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:31:20|5[info]13/12/2014 00:31:20 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][reset = 1][is_ajax = 1][layout = thumb][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 13 00:31:27|5[info]13/12/2014 00:31:27 - [UTENTE = alberto][REMOTE IP = 79.7.71.152][act = Search][gm = 14][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
