dic 16 00:06:56|5[info]16/12/2014 00:06:56 - [UTENTE = ][REMOTE IP = 151.24.63.34][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 00:39:22|5[info]16/12/2014 00:39:22 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 43][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 00:48:08|5[info]16/12/2014 00:48:08 - [UTENTE = ][REMOTE IP = 66.249.67.128][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 00:48:56|5[info]16/12/2014 00:48:56 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 42][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 01:06:13|5[info]16/12/2014 01:06:13 - [UTENTE = ][REMOTE IP = 151.24.63.34][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 01:06:29|5[info]16/12/2014 01:06:29 - [UTENTE = ][REMOTE IP = 151.24.63.34][act = CreateAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 01:06:33|5[info]16/12/2014 01:06:33 - [UTENTE = ][REMOTE IP = 151.24.63.34][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36]
dic 16 06:31:41|5[info]16/12/2014 06:31:41 - [UTENTE = ][REMOTE IP = 66.249.67.144][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 08:40:38|5[info]16/12/2014 08:40:38 - [UTENTE = ][REMOTE IP = 66.249.67.144][act = Search][gm = 35][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 09:08:04|5[info]16/12/2014 09:08:04 - [UTENTE = ][REMOTE IP = 66.249.67.136][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 16 09:18:41|5[info]16/12/2014 09:18:41 - [UTENTE = ][REMOTE IP = 66.249.67.147][act = Search][gm = 31][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
