gen 22 00:14:14|5[info]22/01/2015 00:14:14 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:21|5[info]22/01/2015 00:14:21 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:23|5[info]22/01/2015 00:14:23 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:25|5[info]22/01/2015 00:14:25 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:25|5[info]22/01/2015 00:14:25 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:35|5[info]22/01/2015 00:14:35 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:37|5[info]22/01/2015 00:14:37 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:38|5[info]22/01/2015 00:14:38 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:41|5[info]22/01/2015 00:14:41 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:14:45|5[info]22/01/2015 00:14:45 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = ProductInfo][id_giacenza = 22][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:15:05|5[info]22/01/2015 00:15:05 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = dwe][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:15:33|5[info]22/01/2015 00:15:33 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = er][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:15:45|5[info]22/01/2015 00:15:45 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = rosm][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:15:51|5[info]22/01/2015 00:15:51 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = azal][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:10|5[info]22/01/2015 00:16:10 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = vaso][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:24|5[info]22/01/2015 00:16:24 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = prim][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:39|5[info]22/01/2015 00:16:39 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][reset = 1][key_search = primula][pageID = 1][only_disp = 1][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:43|5[info]22/01/2015 00:16:43 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:45|5[info]22/01/2015 00:16:45 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:45|5[info]22/01/2015 00:16:45 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:48|5[info]22/01/2015 00:16:48 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:16:51|5[info]22/01/2015 00:16:51 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 22 00:32:43|5[info]22/01/2015 00:32:43 - [UTENTE = alberto][REMOTE IP = 79.20.198.80][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
