dic 28 00:04:38|5[info]28/12/2014 00:04:38 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:41|5[info]28/12/2014 00:04:41 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:42|5[info]28/12/2014 00:04:42 - [UTENTE = ][REMOTE IP = 79.20.194.186][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:44|5[info]28/12/2014 00:04:44 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:48|5[info]28/12/2014 00:04:48 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Search][only_disp = 1][search = 1][pageID = 2][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:49|5[info]28/12/2014 00:04:49 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Search][only_disp = 1][search = 1][pageID = 3][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:04:53|5[info]28/12/2014 00:04:53 - [UTENTE = ][REMOTE IP = 79.20.194.186][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 28 00:55:56|5[info]28/12/2014 00:55:56 - [UTENTE = ][REMOTE IP = 66.249.67.147][act = AjaxDetailGiacenza][touch = 1][id = 29][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 28 01:22:27|5[info]28/12/2014 01:22:27 - [UTENTE = ][REMOTE IP = 66.249.67.155][act = AjaxDetailGiacenza][touch = 1][id = 39][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 28 01:35:35|5[info]28/12/2014 01:35:35 - [UTENTE = ][REMOTE IP = 66.249.67.139][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 28 01:48:41|5[info]28/12/2014 01:48:41 - [UTENTE = ][REMOTE IP = 66.249.67.139][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
dic 28 02:02:01|5[info]28/12/2014 02:02:01 - [UTENTE = ][REMOTE IP = 66.249.67.147][act = AjaxDetailGiacenza][touch = 1][id = 23][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
