dic 29 00:40:31|5[info]29/12/2014 00:40:31 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:35|5[info]29/12/2014 00:40:35 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:38|5[info]29/12/2014 00:40:38 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:39|5[info]29/12/2014 00:40:39 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 15][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:41|5[info]29/12/2014 00:40:41 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 16][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:43|5[info]29/12/2014 00:40:43 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 17][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:44|5[info]29/12/2014 00:40:44 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:46|5[info]29/12/2014 00:40:46 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Search][gm = 31][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:48|5[info]29/12/2014 00:40:48 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = ProductInfo][id_giacenza = 15][breadcrumb1 = ][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:50|5[info]29/12/2014 00:40:50 - [UTENTE = ][REMOTE IP = 79.20.198.218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:40:52|5[info]29/12/2014 00:40:52 - [UTENTE = ][REMOTE IP = 79.20.198.218][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:03|5[info]29/12/2014 00:41:03 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = ProductInfo][id_giacenza = 15][breadcrumb1 = ][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:05|5[info]29/12/2014 00:41:05 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:11|5[info]29/12/2014 00:41:11 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:12|5[info]29/12/2014 00:41:12 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:18|5[info]29/12/2014 00:41:18 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:25|5[info]29/12/2014 00:41:25 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:27|5[info]29/12/2014 00:41:27 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 29 00:41:28|5[info]29/12/2014 00:41:28 - [UTENTE = alberto][REMOTE IP = 79.20.198.218][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
