gen 31 00:11:13|5[info]31/01/2015 00:11:12 - [UTENTE = ][REMOTE IP = 157.55.39.92][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
gen 31 00:11:17|5[info]31/01/2015 00:11:17 - [UTENTE = ][REMOTE IP = 157.55.39.237][act = Search][gm = 44][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)]
gen 31 00:12:36|5[info]31/01/2015 00:12:36 - [UTENTE = ][REMOTE IP = 66.249.78.34][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)]
gen 31 00:59:41|5[info]31/01/2015 00:59:41 - [UTENTE = ][REMOTE IP = 79.7.71.16][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 00:59:43|5[info]31/01/2015 00:59:43 - [UTENTE = ][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 00:59:50|5[info]31/01/2015 00:59:50 - [UTENTE = ][REMOTE IP = 79.7.71.16][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:00:56|5[info]31/01/2015 01:00:56 - [UTENTE = ][REMOTE IP = 79.7.71.16][act = Login][username = alberto][password = papapalllo][send = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:07|5[info]31/01/2015 01:01:07 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:12|5[info]31/01/2015 01:01:12 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = MyAccount][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:16|5[info]31/01/2015 01:01:16 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:30|5[info]31/01/2015 01:01:30 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:32|5[info]31/01/2015 01:01:32 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:38|5[info]31/01/2015 01:01:38 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:41|5[info]31/01/2015 01:01:41 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:46|5[info]31/01/2015 01:01:46 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:48|5[info]31/01/2015 01:01:48 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:51|5[info]31/01/2015 01:01:51 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:51|5[info]31/01/2015 01:01:51 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:51|5[info]31/01/2015 01:01:51 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:01:54|5[info]31/01/2015 01:01:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:02:04|5[info]31/01/2015 01:02:04 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:02:06|5[info]31/01/2015 01:02:06 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:02:08|5[info]31/01/2015 01:02:08 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ProductInfo][id_giacenza = 13][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:02:28|5[info]31/01/2015 01:02:28 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:02:45|5[info]31/01/2015 01:02:45 - [UTENTE = ][REMOTE IP = 79.7.71.16][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:04:43|5[info]31/01/2015 01:04:43 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:10:54|5[info]31/01/2015 01:10:54 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:10:56|5[info]31/01/2015 01:10:56 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
gen 31 01:10:58|5[info]31/01/2015 01:10:58 - [UTENTE = alberto][REMOTE IP = 79.7.71.16][act = Search][gm = 36][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:35.0) Gecko/20100101 Firefox/35.0]
