dic 31 00:57:22|5[info]31/12/2014 00:57:22 - [UTENTE = ][REMOTE IP = 82.48.195.196][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:24|5[info]31/12/2014 00:57:24 - [UTENTE = ][REMOTE IP = 82.48.195.196][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:25|5[info]31/12/2014 00:57:25 - [UTENTE = ][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:28|5[info]31/12/2014 00:57:28 - [UTENTE = ][REMOTE IP = 82.48.195.196][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:30|5[info]31/12/2014 00:57:30 - [UTENTE = ][REMOTE IP = 82.48.195.196][act = Login][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:42|5[info]31/12/2014 00:57:42 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 40][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:46|5[info]31/12/2014 00:57:46 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:48|5[info]31/12/2014 00:57:48 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:57:51|5[info]31/12/2014 00:57:51 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:58:49|5[info]31/12/2014 00:58:49 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][reset = 1][pageID = 1][only_disp = 1][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:58:55|5[info]31/12/2014 00:58:55 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:13|5[info]31/12/2014 00:59:13 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:18|5[info]31/12/2014 00:59:18 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:21|5[info]31/12/2014 00:59:21 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:29|5[info]31/12/2014 00:59:29 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:35|5[info]31/12/2014 00:59:35 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 00:59:38|5[info]31/12/2014 00:59:38 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 34][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:13|5[info]31/12/2014 01:05:13 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:16|5[info]31/12/2014 01:05:16 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:19|5[info]31/12/2014 01:05:19 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 10][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:21|5[info]31/12/2014 01:05:21 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ProductInfo][id_giacenza = 17][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:39|5[info]31/12/2014 01:05:39 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:41|5[info]31/12/2014 01:05:41 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = Search][gm = 30][pageID = 1][only_disp = 1][famiglia = ][REQUEST METHOD = POST][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:05:59|5[info]31/12/2014 01:05:59 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:02|5[info]31/12/2014 01:06:02 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][act = ShoppingCart][error_qta = Atenzione la quantita minima d' ordine e' di 16 confezioni o un multiplo di 8][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
dic 31 01:06:14|5[info]31/12/2014 01:06:14 - [UTENTE = alberto][REMOTE IP = 82.48.195.196][REQUEST METHOD = GET][USER AGENT = Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:34.0) Gecko/20100101 Firefox/34.0]
